ID,Name
ESOT,Soest
EWN,Westönnen
EWER,Werl
EHMD,Hemmerde
ELRN,Lünern
EUN,Unna
EHZW,Holzwickede
EDSO,Dortmund-Sölde
EDAP,Dortmund-Aplerbeck
EDH,Dortmund-Hörde
EDWH,Dortmund-Signal-Iduna-Park
EDO,Dortmund Hauptbahnhof
EDAU,Dortmund-Aplerbeck Süd
ESRT,Schwerte (Ruhr)
EFOE,Fröndenberg
EWIC,Wickede (Ruhr)
ENHH,Neheim-Hüsten
EARB,Arnsberg (Westf.)
EOVP,Oeventrop
EFRE,Meschede-Freienohl
EMSD,Meschede
EBWG,Bestwig
EBIG,Bigge
EBSP,Bösperde
EMED,Menden (Sauerland)
EMEU,Menden (Sauerland) Süd
ELSN,Lendringsen
EBIN,Binolen
EVOK,Balve-Volkringhausen
ESCI,Balve-Sanssouci
EBAV,Balve
EGAR,Balve-Garbeck
EKNT,Neuenrade-Küntrop
ENRA,Neuenrade
EERG,Schwerte-Ergste
EHNE,Hennen
EKAL,Kalthof(Kr Iserlohn)
EILH,Iserlohnerheide
EIL,Iserlohn
